,"Pref Vendor","Reorder Pt (Min)","Max","On Hand","On Sales Order","For Assemblies","Available","Order","On PO","Reorder Qty","Next Deliv","Sales/Week"
"CW2-W3630",,0,0,13,10,0,3,,0,0,,0
"CW2-W3639",,0,0,21,0,0,21,,0,0,,0
"CW2-WBC2730",,0,0,3,0,0,3,,0,0,,0
"CW2-WBC2739",,0,0,1,1,0,0,,0,0,,0
"CW2-WDC2430",,0,0,19,24,0,-5,,0,0,,0
"CW2-WDC2439",,0,0,36,4,0,32,,0,0,,0
"CW2-WEA1230",,0,0,3,11,0,-8,,0,0,,0
"CW2-WEA1239",,0,0,4,3,0,1,,0,0,,0
"CW2-WES630",,0,0,1,64,0,-63,,0,0,,0
"CW2-WES639",,0,0,6,7,0,-1,,1,0,"05/20/2021",0
"CW2-WES930",,0,0,2,4,0,-2,,2,0,"10/09/2020",0
"CW2-WES939",,0,0,2,2,0,0,,1,0,"05/21/2021",0
"CW2-WF330",,0,0,21,40,0,-19,,0,0,,0
"CW2-WF339",,0,0,36,90,0,-54,,0,0,,0
"CW2-WF396",,0,0,32,0,0,32,,0,0,,0
"CW2-WF630",,0,0,7,10,0,-3,,0,0,,0
"CW2-WF639",,0,0,7,0,0,7,,0,0,,0
"CW2-WF696",,0,0,15,15,0,0,,0,0,,0
"CW2-WFF330",,0,0,12,0,0,12,,0,0,,0
"CW2-WFF339",,0,0,0,0,0,0,"X",0,1,,0
"CW2-WHF33308",,0,0,2,0,0,2,,0,0,,0
"CW2-WHF39308",,0,0,2,0,0,2,,0,0,,0
"CW2-WRC3018",,0,0,16,3,0,13,,0,0,,0
"CW2-WRP1230",,0,0,39,39,0,0,,0,0,,0
"CW2-WRP1239",,0,0,9,0,0,9,,2,0,"12/06/2018",0
"Discount",,0,0,575,0,0,575,,1,0,"04/11/2019",0
"E2-B09",,0,0,32,0,0,32,,0,0,,0
"E2-B12",,0,0,68,37,0,31,,1,0,"04/22/2021",0
"E2-B15",,0,0,72,30,0,42,,0,0,,0
"E2-B18",,0,0,81,0,0,81,,10,0,"10/09/2020",0
"E2-B21",,0,0,23,9,0,14,,0,0,,0
"E2-B24",,0,0,62,31,0,31,,0,0,,0
"E2-B27",,0,0,33,0,0,33,,0,0,,0
"E2-B30",,0,0,69,16,0,53,,2,0,"02/06/2020",0
"E2-B33",,0,0,21,6,0,15,,0,0,,0
"E2-B36",,0,0,23,10,0,13,,0,0,,0
"E2-BBC36",,0,0,5,8,0,-3,,0,0,,0
"E2-BBC42",,0,0,1,3,0,-2,,0,0,,0
"E2-BBM",,"","",2,0,0,2,,0,0,,0
"E2-BEA12-L",,0,0,2,0,0,2,,0,0,,0
"E2-BEA12-R",,0,0,2,4,0,-2,,0,0,,0
"E2-BEA24",,0,0,2,3,0,-1,,0,0,,0
"E2-BEOS12-L",,0,0,0,0,0,0,"X",0,1,,0
"E2-BEOS12-R",,0,0,0,0,0,0,"X",0,1,,0
"E2-BEOS6-L",,0,0,0,0,0,0,"X",0,1,,0
"E2-BEOS6-R",,0,0,0,0,0,0,"X",0,1,,0
"E2-BEOS9-L",,0,0,9,0,0,9,,0,0,,0
"E2-BEOS9-R",,0,0,0,0,0,0,"X",0,1,,0
"E2-BF3",,0,0,127,60,0,67,,0,0,,0
"E2-BF6",,0,0,9,0,0,9,,0,0,,0
"E2-BMB",,0,0,28,0,0,28,,0,0,,0
"E2-BMC30",,"","",12,0,0,12,,0,0,,0
"E2-BRP2430",,0,0,5,0,0,5,,0,0,,0
"E2-BSR9",,0,0,4,0,0,4,,2,0,"10/09/2020",0
"E2-CM2 3/4",,0,0,27,10,0,17,,0,0,,0
"E2-CM8",,0,0,191,70,0,121,,0,0,,0
"E2-DB12",,0,0,6,6,0,0,,0,0,,0
"E2-DB15",,0,0,6,3,0,3,,0,0,,0
"E2-DB18",,0,0,4,0,0,4,,0,0,,0
"E2-DB21",,0,0,1,0,0,1,,1,0,"11/26/2019",0
"E2-DB24",,0,0,4,0,0,4,,0,0,,0
"E2-DB30",,"","",0,0,0,0,,0,0,,0
"E2-DB36",,"","",0,0,0,0,,0,0,,0
"E2-DDB30",,"","",21,0,0,21,,0,0,,0
"E2-DDB36",,"","",14,0,0,14,,0,0,,0
"E2-DWP",,0,0,19,0,0,19,,0,0,,0
"E2-FSB33",,"","",13,0,0,13,,0,0,,0
"E2-FSB39",,"","",20,0,0,20,,0,0,,0
"E2-GRPO",,0,0,0,0,0,0,"X",0,1,,0
"E2-GW1530-BOX",,0,0,1,0,0,1,,0,0,,0
"E2-GW1530-GLASS DOOR",,0,0,2,0,0,2,,1,0,"11/18/2020",0
"E2-GW1539-BOX",,0,0,2,0,0,2,,0,0,,0
"E2-GW1539-GLASS DOOR",,0,0,3,0,0,3,,2,0,"10/09/2020",0
"E2-GW1830-BOX",,0,0,4,0,0,4,,0,0,,0
"E2-GW1830-GLASS DOOR",,0,0,4,0,0,4,,0,0,,0
"E2-GW1839-BOX",,0,0,2,0,0,2,,2,0,"11/26/2019",0
"E2-GW1839-GLASS DOOR",,0,0,2,0,0,2,,2,0,"11/26/2019",0
"E2-GW2430-BOX",,0,0,0,0,0,0,"X",0,1,,0
"E2-GW2430-GLASS DOOR",,0,0,1,0,0,1,,0,0,,0
"E2-GW2439-BOX",,0,0,0,0,0,0,"X",0,1,,0
"E2-GW2439-GLASS DOOR",,0,0,6,0,0,6,,0,0,,0
"E2-GW3030-BOX",,0,0,3,0,0,3,,0,0,,0
"E2-GW3030-GLASS DOOR",,0,0,34,0,0,34,,0,0,,0
"E2-GW3039-BOX",,0,0,3,0,0,3,,0,0,,0
"E2-GW3039-GLASS DOOR",,0,0,42,0,0,42,,0,0,,0
"E2-GW3630-BOX",,0,0,1,3,0,-2,,0,0,,0
"E2-GW3630-GLASS DOOR",,0,0,5,6,0,-1,,0,0,,0
"E2-GW3639-BOX",,0,0,1,0,0,1,,0,0,,0
"E2-GW3639-GLASS DOOR",,0,0,30,0,0,30,,0,0,,0
"E2-GWDC2430-BOX",,0,0,5,0,0,5,,0,0,,0
"E2-GWDC2430-GLASS DOOR",,0,0,2,0,0,2,,0,0,,0
"E2-GWDC2439-BOX",,0,0,9,0,0,9,,0,0,,0
"E2-GWDC2439-GLASS DOOR",,0,0,9,0,0,9,,0,0,,0
"E2-LSB33",,0,0,23,8,0,15,,5,0,"10/09/2020",0
"E2-LSB36",,0,0,40,10,0,30,,0,0,,0
"E2-MWC2730",,0,0,4,0,0,4,,0,0,,0
"E2-MWC2739",,0,0,3,2,0,1,,0,0,,0
"E2-MWC3030",,0,0,0,0,0,0,"X",0,1,,0
"E2-MWC3039",,0,0,3,2,0,1,,0,0,,0
"E2-OC3384",,"","",17,0,0,17,,0,0,,0
"E2-OC3393",,"","",12,0,0,12,,0,0,,0
"E2-OCM8",,0,0,9,0,0,9,,0,0,,0
"E2-PC1884",,0,0,0,0,0,0,"X",0,1,,0
"E2-PC1893",,0,0,9,4,0,5,,0,0,,0
"E2-PC2484",,0,0,3,0,0,3,,0,0,,0
"E2-PC2493",,0,0,2,0,0,2,,0,0,,0
"E2-PC3084",,"","",1,0,0,1,,0,0,,0
"E2-PC3093",,"","",0,0,0,0,,0,0,,0
"E2-PN4896",,0,0,20,10,0,10,,10,0,"10/16/2021",0
"E2-PRC3018",,0,0,0,0,0,0,"X",0,1,,0
"E2-RC58",,0,0,3,0,0,3,,0,0,,0
"E2-REF2496",,0,0,90,30,0,60,,1,0,"11/09/2020",0
"E2-REF3096",,"","",4,0,0,4,,0,0,,0
"E2-SAMPLE DOOR",,0,0,1,0,0,1,,1,0,"07/29/2021",0
"E2-SB30",,0,0,96,10,0,86,,1,0,"04/22/2021",0
"E2-SB33",,0,0,27,0,0,27,,0,0,,0
"E2-SB36",,0,0,85,12,0,73,,0,0,,0
"E2-SBA36",,0,0,56,0,0,56,,0,0,,0
"E2-SHG30",,0,0,2,6,0,-4,,0,0,,0
"E2-SM8",,0,0,10,0,0,10,,0,0,,0
"E2-SP3*34.5",,0,0,1,4,0,-3,,0,0,,0
"E2-TK8",,0,0,198,140,0,58,,0,0,,0
"E2-TOUCH UP",,"","",235,0,0,235,,0,0,,0
"E2-VA2421",,0,0,40,5,0,35,,0,0,,0
"E2-VA3021",,0,0,0,2,0,-2,"X",0,1,,0
"E2-VA3621",,0,0,2,0,0,2,,0,0,,0
"E2-VAD3021-L",,0,0,6,0,0,6,,0,0,,0
"E2-VAD3021-R",,0,0,13,0,0,13,,0,0,,0
"E2-VAD3621-L",,0,0,0,3,0,-3,"X",0,1,,0
"E2-VAD3621-R",,0,0,2,2,0,0,,0,0,,0
"E2-VAD4821",,0,0,6,0,0,6,,0,0,,0
"E2-VAS36",,0,0,12,5,0,7,,1,0,"11/26/2019",0
"E2-VAS48",,0,0,31,5,0,26,,0,0,,0
"E2-VAS72",,0,0,8,7,0,1,,0,0,,0
"E2-VDB12",,"","",10,0,0,10,,0,0,,0
"E2-VDB15",,"","",6,0,0,6,,0,0,,0
"E2-W0930",,0,0,24,0,0,24,,0,0,,0
"E2-W0939",,0,0,38,0,0,38,,0,0,,0
"E2-W1230",,0,0,68,0,0,68,,1,0,"04/22/2021",0
"E2-W1239",,0,0,43,0,0,43,,0,0,,0
"E2-W1530",,0,0,61,0,0,61,,0,0,,0
"E2-W1539",,0,0,27,0,0,27,,2,0,"12/05/2019",0
"E2-W1830",,0,0,44,0,0,44,,1,0,"11/05/2019",0
"E2-W1839",,0,0,24,0,0,24,,6,0,"10/09/2020",0
"E2-W2130",,0,0,8,0,0,8,,0,0,,0
"E2-W2139",,0,0,22,8,0,14,,0,0,,0
"E2-W2412",,0,0,2,0,0,2,,0,0,,0
"E2-W2415",,0,0,2,6,0,-4,,0,0,,0
"E2-W2418",,0,0,100,0,0,100,,0,0,,0
"E2-W2421",,0,0,7,2,0,5,,0,0,,0
"E2-W2424",,0,0,4,8,0,-4,,0,0,,0
"E2-W2430",,0,0,64,0,0,64,,1,0,"11/05/2019",0
"E2-W2439",,0,0,69,19,0,50,,0,0,,0
"E2-W2730",,0,0,11,0,0,11,,0,0,,0
"E2-W2739",,0,0,39,19,0,20,,0,0,,0
"E2-W3012",,0,0,33,8,0,25,,0,0,,0
"E2-W301224",,0,0,2,0,0,2,,0,0,,0
"E2-W3015",,0,0,45,15,0,30,,0,0,,0
"E2-W301524",,0,0,3,3,0,0,,1,0,"10/09/2020",0
"E2-W3018",,0,0,38,0,0,38,,0,0,,0
"E2-W301824",,0,0,1,0,0,1,,0,0,,0
"E2-W3021",,0,0,40,30,0,10,,0,0,,0
"E2-W302124",,0,0,15,2,0,13,,0,0,,0
"E2-W3024",,0,0,51,13,0,38,,0,0,,0
"E2-W302424",,0,0,2,0,0,2,,0,0,,0
"E2-W3030",,0,0,74,0,0,74,,1,0,"04/22/2021",0
"E2-W3039",,0,0,45,10,0,35,,6,0,"10/09/2020",0
"E2-W3312",,0,0,7,0,0,7,,1,0,"01/11/2021",0
"E2-W331224",,0,0,1,0,0,1,,0,0,,0
"E2-W3315",,0,0,1,0,0,1,,0,0,,0
"E2-W331524",,0,0,4,0,0,4,,0,0,,0
"E2-W3318",,0,0,2,0,0,2,,1,0,"10/09/2020",0
"E2-W3321",,0,0,3,3,0,0,,0,0,,0
"E2-W332124",,0,0,1,7,0,-6,,0,0,,0
"E2-W3324",,0,0,3,5,0,-2,,0,0,,0
"E2-W332424",,0,0,1,0,0,1,,0,0,,0
"E2-W3330",,0,0,10,0,0,10,,0,0,,0
"E2-W3339",,0,0,10,13,0,-3,,0,0,,0
"E2-W3612",,0,0,7,0,0,7,,0,0,,0
"E2-W361224",,0,0,2,0,0,2,,0,0,,0
"E2-W3615",,0,0,2,0,0,2,,0,0,,0
"E2-W361524",,0,0,2,0,0,2,,0,0,,0
"E2-W3618",,0,0,9,1,0,8,,0,0,,0
"E2-W361824",,0,0,1,4,0,-3,,0,0,,0
"E2-W3621",,0,0,10,0,0,10,,0,0,,0
"E2-W362124",,0,0,9,0,0,9,,6,0,"12/05/2019",0
"E2-W3624",,0,0,6,0,0,6,,0,0,,0
"E2-W362424",,0,0,1,0,0,1,,1,0,"11/14/2019",0
"E2-W3630",,0,0,71,0,0,71,,0,0,,0
"E2-W3639",,0,0,30,21,0,9,,0,0,,0
"E2-WBC2730",,0,0,0,0,0,0,,1,0,"10/09/2020",0
"E2-WBC2739",,0,0,4,0,0,4,,0,0,,0
"E2-WDC2430",,0,0,27,0,0,27,,0,0,,0
"E2-WDC2439",,0,0,50,19,0,31,,0,0,,0
