,Pref Vendor,Reorder Pt (Min),Max,On Hand,On Sales Order,For Assemblies,Available,Order,On PO,Reorder Qty,Next Deliv,Sales/Week
Inventory333,,,,,,,,,,,,
CW2-W2415,,,,0,0,0,0,,0,0,,0
CW2-W2418,,,,2,0,0,2,,0,0,,0
CW2-W2421,,,,0,0,0,0,,0,0,,0
CW2-W2424,,,,4,0,0,4,,0,0,,0
CW2-W2430,,,,17,0,0,17,,0,0,,21
CW2-W2439,,,,29,0,0,29,,0,0,,0
CW2-W2730,,,,12,0,0,12,,0,0,,0
CW2-W2739,,,,21,0,0,21,,0,0,,0
CW2-W3012,,,,1,0,0,1,,0,0,,0
CW2-W301224,,,,1,0,0,1,,0,0,,0
CW2-W3015,,,,9,0,0,9,,0,0,,0
CW2-W301524,,,,0,0,0,0,,0,0,,0
CW2-W3018,,,,18,0,0,18,,0,0,,0
CW2-W301824,,,,2,0,0,2,,0,0,,0
CW2-W3021,,,,28,0,0,28,,0,0,,0
CW2-W302124,,,,4,0,0,4,,0,0,,0
CW2-W3024,,,,10,0,0,10,,0,0,,0
CW2-W302424,,,,3,0,0,3,,0,0,,0
CW2-W3030,,,,2,0,0,2,,0,0,,0
CW2-W3039,,,,23,0,0,23,,0,0,,0
CW2-W3312,,,,1,0,0,1,,0,0,,0
CW2-W331224,,,,0,0,0,0,,1,0,02/29/2024,0
CW2-W3315,,,,0,0,0,0,,0,0,,0
CW2-W331524,,,,0,0,0,0,,0,0,,0
CW2-W3318,,,,1,0,0,1,,0,0,,0
CW2-W3321,,,,0,0,0,0,,0,0,,0
CW2-W332124,,,,6,0,0,6,,0,0,,0
CW2-W3324,,,,2,0,0,2,,0,0,,0
CW2-W332424,,,,2,0,0,2,,0,0,,0
